,agent,scenario,type,count
195,BrowserUse,"shop:s:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
196,BrowserUse,"shop:s:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
197,BrowserUse,"shop:s:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
198,BrowserUse,"shop:s:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
199,BrowserUse,"shop:s:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
200,BrowserUse,"shop:s:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,3
201,BrowserUse,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
202,BrowserUse,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
203,BrowserUse,"shop:w:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
204,BrowserUse,"shop:w:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
205,BrowserUse,"shop:w:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
206,BrowserUse,"shop:w:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
207,BrowserUse,"shop:w:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
208,BrowserUse,"shop:w:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
209,BrowserUse,"shop:w:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
210,BrowserUse,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
211,BrowserUse,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
212,BrowserUse,"spotify:am:Buy me the best value membership for a single person Input the results to the scratchpad textarea in the end, if there are any.",DF,1
213,BrowserUse,"spotify:am:Buy me the best value membership for a single person Input the results to the scratchpad textarea in the end, if there are any.",EC,2
214,BrowserUse,"spotify:am:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
215,BrowserUse,"spotify:am:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",EC,1
216,BrowserUse,"spotify:ds:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EF,3
217,BrowserUse,"spotify:ds:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",DC,1
218,BrowserUse,"spotify:ds:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EF,2
219,BrowserUse,"spotify:ds:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EF,3
220,BrowserUse,"spotify:du:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",DC,3
221,BrowserUse,"spotify:du:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",DC,1
222,BrowserUse,"spotify:du:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",DF,2
223,BrowserUse,"spotify:du:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",DC,2
224,BrowserUse,"spotify:du:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",DF,1
225,DoBrowser,"health:cf:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EF,3
226,DoBrowser,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
227,DoBrowser,"health:cf:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EF,3
228,DoBrowser,"health:cf:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EF,3
229,DoBrowser,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EC,1
230,DoBrowser,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
231,DoBrowser,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EF,3
232,DoBrowser,"health:cs:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,3
233,DoBrowser,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
234,DoBrowser,"health:cs:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
235,DoBrowser,"health:cs:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
236,DoBrowser,"health:cs:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
237,DoBrowser,"health:cs:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,3
238,DoBrowser,"health:tos:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,2
239,DoBrowser,"health:tos:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EF,1
240,DoBrowser,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
241,DoBrowser,"health:tos:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,2
242,DoBrowser,"health:tos:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EF,1
243,DoBrowser,"health:tos:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,1
244,DoBrowser,"health:tos:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EF,2
245,DoBrowser,"health:tos:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
246,DoBrowser,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,3
247,DoBrowser,"news:bs:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
248,DoBrowser,"news:bs:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,3
249,DoBrowser,"news:bs:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
250,DoBrowser,"news:cf:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
251,DoBrowser,"news:cf:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",DF,3
252,DoBrowser,"news:cf:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
253,DoBrowser,"news:ob:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
254,DoBrowser,"news:ob:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,3
255,DoBrowser,"news:ob:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
256,DoBrowser,"news:sa:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EC,3
257,DoBrowser,"news:sa:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,3
258,DoBrowser,"news:sa:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
259,DoBrowser,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",DC,1
260,DoBrowser,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",EC,1
261,DoBrowser,"shop:p1:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",EF,1
262,DoBrowser,"shop:p1:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DC,1
263,DoBrowser,"shop:p1:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",EF,2
264,DoBrowser,"shop:p1:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
265,DoBrowser,"shop:p1:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
266,DoBrowser,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",DC,1
267,DoBrowser,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",EC,1
268,DoBrowser,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",EF,1
269,DoBrowser,"shop:p1:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",EC,3
270,DoBrowser,"shop:p1:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",DC,1
271,DoBrowser,"shop:p1:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",EC,1
272,DoBrowser,"shop:p1:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",EF,1
273,DoBrowser,"shop:p1:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
274,DoBrowser,"shop:p1:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
275,DoBrowser,"shop:p1:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
276,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
277,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
278,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
279,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
280,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
281,DoBrowser,"shop:p1:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
282,DoBrowser,"shop:p1:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EC,1
283,DoBrowser,"shop:p1:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,2
284,DoBrowser,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,2
285,DoBrowser,"shop:p1:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,1
286,DoBrowser,"shop:p1:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,3
287,DoBrowser,"shop:p1:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EC,2
288,DoBrowser,"shop:p1:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",EF,1
289,DoBrowser,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,1
290,DoBrowser,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
291,DoBrowser,"shop:p1:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,1
292,DoBrowser,"shop:p1:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,1
293,DoBrowser,"shop:p1:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
294,DoBrowser,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,1
295,DoBrowser,"shop:p1:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,2
296,DoBrowser,"shop:p2:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",DC,3
297,DoBrowser,"shop:p2:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DC,1
298,DoBrowser,"shop:p2:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",DF,2
299,DoBrowser,"shop:p2:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
300,DoBrowser,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",DC,3
301,DoBrowser,"shop:p2:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",DC,3
302,DoBrowser,"shop:p2:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",DC,2
303,DoBrowser,"shop:p2:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",DF,1
304,DoBrowser,"shop:p2:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
305,DoBrowser,"shop:p2:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
306,DoBrowser,"shop:p2:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
307,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
308,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
309,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
310,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
311,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
312,DoBrowser,"shop:p2:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
313,DoBrowser,"shop:p2:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,2
314,DoBrowser,"shop:p2:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,1
315,DoBrowser,"shop:p2:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,3
316,DoBrowser,"shop:p2:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DF,3
317,DoBrowser,"shop:p2:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",DC,3
318,DoBrowser,"shop:p2:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
319,DoBrowser,"shop:p2:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,1
320,DoBrowser,"shop:p2:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,2
321,DoBrowser,"shop:p2:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
322,DoBrowser,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DC,1
323,DoBrowser,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",DF,1
324,DoBrowser,"shop:p2:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,1
325,DoBrowser,"shop:s:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
326,DoBrowser,"shop:s:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,1
327,DoBrowser,"shop:s:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
328,DoBrowser,"shop:s:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
329,DoBrowser,"shop:s:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
330,DoBrowser,"shop:s:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
331,DoBrowser,"shop:s:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,3
332,DoBrowser,"shop:s:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,2
333,DoBrowser,"shop:s:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,1
334,DoBrowser,"shop:s:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,3
335,DoBrowser,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EC,2
336,DoBrowser,"shop:s:What is the price of the newest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",EF,1
337,DoBrowser,"shop:w:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
338,DoBrowser,"shop:w:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
339,DoBrowser,"shop:w:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
340,DoBrowser,"shop:w:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
341,DoBrowser,"shop:w:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
342,DoBrowser,"shop:w:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
343,DoBrowser,"shop:w:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
344,DoBrowser,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
345,DoBrowser,"shop:w:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",EF,2
346,DoBrowser,"spotify:am:Buy me the best value membership for a single person Input the results to the scratchpad textarea in the end, if there are any.",EC,3
347,DoBrowser,"spotify:am:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",DF,3
348,DoBrowser,"spotify:ds:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EF,3
349,DoBrowser,"spotify:ds:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EF,3
350,DoBrowser,"spotify:ds:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EC,2
351,DoBrowser,"spotify:ds:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EF,1
352,DoBrowser,"spotify:du:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EC,1
353,DoBrowser,"spotify:du:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",EF,2
354,DoBrowser,"spotify:du:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",EF,3
355,DoBrowser,"spotify:du:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",EC,3
356,Skyvern,"health:cf:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",EF,3
357,Skyvern,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EC,2
358,Skyvern,"health:cf:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",EF,1
359,Skyvern,"health:cf:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
360,Skyvern,"health:cf:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",EC,3
361,Skyvern,"health:cf:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",EC,3
362,Skyvern,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EC,2
363,Skyvern,"health:cf:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",EF,1
364,Skyvern,"health:cs:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,3
365,Skyvern,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
366,Skyvern,"health:cs:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
367,Skyvern,"health:cs:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
368,Skyvern,"health:cs:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
369,Skyvern,"health:cs:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,1
370,Skyvern,"health:cs:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DF,2
371,Skyvern,"health:cs:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DF,3
372,Skyvern,"health:tos:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",DF,3
373,Skyvern,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DC,2
374,Skyvern,"health:tos:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",DF,1
375,Skyvern,"health:tos:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
376,Skyvern,"health:tos:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",DC,3
377,Skyvern,"health:tos:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",DC,3
378,Skyvern,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DC,1
379,Skyvern,"health:tos:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",DF,2
380,Skyvern,"news:bs:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DC,2
381,Skyvern,"news:bs:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EF,1
382,Skyvern,"news:bs:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",EF,3
383,Skyvern,"news:bs:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",EF,3
384,Skyvern,"news:cf:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DC,3
385,Skyvern,"news:cf:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",DF,3
386,Skyvern,"news:cf:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
387,Skyvern,"news:ob:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",DC,3
388,Skyvern,"news:ob:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",DF,3
389,Skyvern,"news:ob:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",DF,3
390,Skyvern,"news:sa:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",EC,3
