,agent,site_name,scenario,prompt,task_correct
1354,Agent-E,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
1356,Agent-E,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",True
1366,Agent-E,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",False
1372,Agent-E,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",False
1376,Agent-E,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",True
1380,Agent-E,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
1388,Agent-E,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",True
1392,Agent-E,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
1403,Agent-E,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
1420,Agent-E,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
1427,Agent-E,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1433,Agent-E,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",False
1443,Agent-E,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
1451,Agent-E,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
1462,Agent-E,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
1463,Agent-E,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",False
1466,Agent-E,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
1475,Agent-E,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",True
1477,Agent-E,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1486,Agent-E,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
1492,Agent-E,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
1497,Agent-E,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
1521,Agent-E,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
1525,Agent-E,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
1543,Agent-E,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
1547,Agent-E,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1562,Agent-E,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1568,Agent-E,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1576,Agent-E,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
1580,Agent-E,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
1589,Agent-E,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",True
1604,Agent-E,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1606,Agent-E,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",True
1608,Agent-E,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
1626,Agent-E,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",True
1630,Agent-E,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
1638,Agent-E,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",True
1640,Agent-E,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1645,Agent-E,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1657,Agent-E,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",False
1665,Agent-E,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",True
1678,Agent-E,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
1684,Agent-E,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
1779,WebArena,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",False
1781,WebArena,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
1792,WebArena,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
1798,WebArena,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
1803,WebArena,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
1833,WebArena,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",False
1853,WebArena,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
1914,WebArena,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",False
1931,WebArena,shop,"shop:Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 2 stars and leave a bad review Input the results to the scratchpad textarea in the end, if there are any.",False
1945,WebArena,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
1946,WebArena,health,"health:View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.","View and download the most recent lab results for my blood test. Input the results to the scratchpad textarea in the end, if there are any.",False
1969,WebArena,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
1970,WebArena,spotify,"spotify:Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.","Add the song “Radioactive” to my “Favorites” playlist Input the results to the scratchpad textarea in the end, if there are any.",False
1977,WebArena,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",True
1984,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
1998,WebArena,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2008,WebArena,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2013,WebArena,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2014,WebArena,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
2021,WebArena,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
2024,WebArena,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
2036,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",False
2042,WebArena,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",False
2047,WebArena,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",False
2055,WebArena,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2056,WebArena,shop,"shop:What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the best rated touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
2077,WebArena,shop,"shop:Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the lowest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
2085,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
2090,WebArena,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
2116,WebArena,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
2125,WebArena,shop,"shop:Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the description of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
2128,WebArena,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",False
2129,WebArena,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
2133,WebArena,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
2134,WebArena,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",False
2159,WebArena,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",False
2181,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",False
2192,WebArena,spotify,"spotify:Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.","Tell me which song Ed Sheeran created Input the results to the scratchpad textarea in the end, if there are any.",True
2196,WebArena,shop,"shop:Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for Dell Inspiron 15 and buy it for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2204,WebArena,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
2206,WebArena,health,"health:Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.","Cancel the appointment at 10:00AM by first going to appointments Input the results to the scratchpad textarea in the end, if there are any.",False
2223,WebArena,shop,"shop:Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the newest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2232,WebArena,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
2238,WebArena,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
2242,WebArena,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",False
2245,WebArena,health,"health:Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Show all my medical records on my profile by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",False
2247,WebArena,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",False
2265,WebArena,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",False
2273,WebArena,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
2283,WebArena,health,"health:Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.","Tell me which doctor administered the blood test by first going to medical records Input the results to the scratchpad textarea in the end, if there are any.",True
2284,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Input the results to the scratchpad textarea in the end, if there are any.",False
2285,WebArena,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",False
2292,WebArena,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
2296,WebArena,shop,"shop:Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.","Search for the Dell Inspiron 15 and tell me the product rating Input the results to the scratchpad textarea in the end, if there are any.",False
2307,WebArena,shop,"shop:Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the best-rated one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2321,WebArena,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
2345,WebArena,spotify,"spotify:Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.","Play the song Lift Yourself Input the results to the scratchpad textarea in the end, if there are any.",True
2347,WebArena,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2348,WebArena,shop,"shop:Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.","Give the Dell Inspiron 15 5 stars and leave a good review Input the results to the scratchpad textarea in the end, if there are any.",False
2357,WebArena,shop,"shop:Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the price of the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
2367,WebArena,news,"news:Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.","Give me the first sentence of the latest news article Input the results to the scratchpad textarea in the end, if there are any.",True
2382,WebArena,news,"news:Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.","Open the article related to the President Trump, and tell me whether the article is a biased article (output yes if it is, and no otherwise) Input the results to the scratchpad textarea in the end, if there are any.",True
2399,WebArena,shop,"shop:Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.","Tell me the comment of the highest rating for the Dell Inspiron 15 Input the results to the scratchpad textarea in the end, if there are any.",True
2400,WebArena,spotify,"spotify:Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.","Buy the best value membership for one person. Input the results to the scratchpad textarea in the end, if there are any.",True
2409,WebArena,shop,"shop:Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the highest rated one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2424,WebArena,shop,"shop:What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.","What is the price of the cheapest touch screen laptop Input the results to the scratchpad textarea in the end, if there are any.",True
2428,WebArena,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2442,WebArena,shop,"shop:Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for toothbrush and buy the cheapest one for me. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",True
2444,WebArena,shop,"shop:Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.","Search for touch screen laptops and buy me the cheapest one. When ready to checkout, you can click the cart icon in the navigation bar. Input the results to the scratchpad textarea in the end, if there are any.",False
2450,WebArena,news,"news:Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.","Open the oldest news article and then tell me the exact title of that article Input the results to the scratchpad textarea in the end, if there are any.",False
2476,WebArena,health,"health:Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.","Schedule an appointment with my physician (Dr. Arjun) for the earliest available slot next week. Input the results to the scratchpad textarea in the end, if there are any.",False
2479,WebArena,shop,"shop:Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.","Search for and add both Bluff and the Lenovo ThinkPad X1 Carbon Ultra to my cart. Only add each once! Tell me the total of my cart Input the results to the scratchpad textarea in the end, if there are any.",False
2489,WebArena,health,"health:When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.","When was my last flu shot administered? Input the results to the scratchpad textarea in the end, if there are any.",False
